#----------------------------------------------------------------------------------------------------
VERS:1.0;Company:Acme
#----------------------------------------------------------------------------------------------------
DLM:TAB;
TIMFMT:MM/DD/YYYY HH:MM:SS;
FILECDATENTIME:01/02/2020 23:44:01;
DPNTS:03;
DTYPE:	DT_FLOAT32	DT_FLOAT32	DT_FLOAT32;
UNIT:	UNIT_PSI	UNIT_DEG_C	UNIT_VOLT;
#----------------------------------------------------------------------------------------------------
TimeStamp	Pressure	Temperature	VData
01/02/2020 23:42:06	2232.060303	70.754051	0.000000
01/02/2020 23:42:11	2231.967041	70.753220	0.000000
01/02/2020 23:42:16	2233.371826	70.752739	0.000000
01/02/2020 23:42:21	2233.275391	70.752739	0.000000
01/02/2020 23:42:26	2233.224121	70.751915	0.000000
01/02/2020 23:42:31	2232.862549	70.752159	0.000000
01/02/2020 23:42:36	2232.523193	70.751991	0.000000
01/02/2020 23:42:41	2232.213623	70.751511	0.000000
01/02/2020 23:42:46	2232.161133	70.750931	0.000000
01/02/2020 23:42:51	2231.999756	70.751511	0.000000
01/02/2020 23:42:56	2233.185791	70.751434	0.000000
01/02/2020 23:43:01	2233.736328	70.751266	0.000000
01/02/2020 23:43:06	2233.317627	70.750610	0.000000
01/02/2020 23:43:11	2232.838379	70.750931	0.000000
01/02/2020 23:43:16	2232.666992	70.751266	0.000000
01/02/2020 23:43:21	2232.488281	70.751823	0.000000
01/02/2020 23:43:26	2232.893799	70.753220	0.000000
01/02/2020 23:43:31	2232.734375	70.753540	0.000000
01/02/2020 23:43:36	2232.506592	70.753471	0.000000
01/02/2020 23:43:41	2232.809814	70.753304	0.000000
01/02/2020 23:43:46	2232.584961	70.752159	0.000000
01/02/2020 23:43:51	2233.014648	70.751747	0.000000
01/02/2020 23:43:56	2232.243652	70.751511	0.000000
01/02/2020 23:44:01	2232.328369	70.751030	0.000000
01/02/2020 23:44:06	2232.688232	70.750954	0.000000
01/02/2020 23:44:11	2232.478271	70.751099	0.000000
01/02/2020 23:44:16	2232.729736	70.751579	0.000000
01/02/2020 23:44:21	2232.749512	70.751915	0.000000
01/02/2020 23:44:26	2232.671631	70.752983	0.000000
01/02/2020 23:44:31	2232.560303	70.752693	0.000000
01/02/2020 23:44:36	2232.366699	70.752159	0.000000
01/02/2020 23:44:41	2231.887207	70.751099	0.000000
01/02/2020 23:44:46	2231.980957	70.750107	0.000000
01/02/2020 23:44:51	2232.208252	70.749573	0.000000
01/02/2020 23:44:56	2232.368652	70.749550	0.000000
01/02/2020 23:45:01	2232.835205	70.749954	0.000000
01/02/2020 23:45:06	2232.895020	70.750031	0.000000
01/02/2020 23:45:11	2232.979492	70.751335	0.000000
01/02/2020 23:45:16	2232.675537	70.752068	0.000000
01/02/2020 23:45:21	2233.052979	70.753059	0.000000
